Time,Team,Killer,Action,Team,Killed,Weapon
00:25,17,Tolok_Mx,killed,17,Tolok_Mx,Disconnect
01:24,1,Girl_power2022,killed,1,Girl_power2022,Disconnect
01:28,11,I_kill_sweats,knocked,11,I_kill_sweats,Fall
01:36,5,cappyCLUTCH19,knocked,-1,BOT,Rifle
01:36,14,Black night 67,knocked,-1,BOT,Pistol
01:36,11,cristopher300350,knocked,9,Your-stepbro46,Explosive
01:39,14,Black night 67,killed,-1,BOT,Pistol
01:44,11,cristopher300350,knocked,9,kingjames4690,Explosive
01:47,11,cristopher300350,killed,9,kingjames4690,Rifle
01:55,5,cappyCLUTCH19,killed,-1,BOT,Rifle
02:10,16,Just1n 父,knocked,-1,BOT,Rifle
02:18,4,guschris0,knocked,-1,BOT,SMG
02:22,19,Worldbos246,knocked,18,luiyirets10,Pistol
02:26,12,Mensch7,knocked,-1,BOT,Shotgun
02:27,4,guschris0,killed,-1,BOT,SMG
02:29,11,I_kill_sweats,killed,11,I_kill_sweats,Storm
02:31,19,Estwick,killed,18,luiyirets10,Rifle
02:31,12,Mensch7,killed,-1,BOT,Shotgun
02:35,16,Just1n 父,knocked,-1,BOT,Rifle
02:38,11,cristopher300350,killed,9,Your-stepbro46,Storm
02:39,12,agentp3418,knocked,15,orosco 123,Shotgun
02:40,16,Just1n 父,killed,-1,BOT,Rifle
02:40,16,Just1n 父,killed,-1,BOT,Rifle
02:40,16,Just1n 父,killed,-1,BOT,Pickaxe
02:42,19,Estwick,knocked,18,TheMaʌ,Shotgun
02:42,12,agentp3418,knocked,15,YoCerby,Shotgun
02:47,19,Estwick,killed,18,TheMaʌ,Shotgun
02:47,10,Flynnstone514,killed,18,lll036,Explosive
02:50,6,aka Dyl,knocked,5,TBM Marty,Shotgun
02:53,12,agentp3418,killed,15,YoCerby,Bow
02:59,6,aka Dyl,knocked,5,TBM Ferlz,Shotgun
03:01,6,aka Dyl,killed,5,TBM Ferlz,Shotgun
03:07,12,agentp3418,killed,15,orosco 123,Storm
03:07,6,aka Dyl,killed,5,TBM Marty,Shotgun
03:07,6,Kingmari25,killed,5,cappyCLUTCH19,Rifle
03:10,10,Flynnstone514,knocked,19,Worldbos246,Shotgun
03:13,19,Estwick,knocked,10,Flynnstone514,Shotgun
03:13,10,XxSickn3ssxX514,knocked,19,Estwick,Rifle
03:13,10,Flynnstone514,killed,19,Worldbos246,Shotgun
03:16,12,Banana Flav0r,killed,-1,BOT,SMG
03:16,9,lep0724,knocked,-1,BOT,Shotgun
03:19,10,XxSickn3ssxX514,killed,19,Estwick,Rifle
03:24,9,lep0724,knocked,-1,BOT,Shotgun
03:32,-1,BOT,knocked,-1,BOT,SMG
03:35,-1,BOT,killed,-1,BOT,SMG
03:35,9,lep0724,knocked,11,cristopher300350,SMG
03:38,-1,NPC,knocked,-1,BOT,Shotgun
03:41,3,TonyRC09,knocked,-1,BOT,Rifle
03:44,9,lep0724,killed,-1,BOT,SMG
03:47,3,TonyRC09,killed,-1,BOT,Shotgun
03:57,3,josejimenez08,killed,-1,BOT,Shotgun
04:00,9,lep0724,killed,11,cristopher300350,Shotgun
04:03,20,hi im sunny,knocked,2,LYXRAVEN,Shotgun
04:11,20,YOU,killed,2,LYXRAVEN,SMG
